,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
0,,1,1,59,1,38.5,40.6,36.4,2,,,0,0,21000,Missouri,Midwest Region
1,,4,2,68,3,38.6,41,36,2,,,0,2000,70000,Missouri,Midwest Region
2,,4,2,79,1,37.8,40.2,35.3,3,,,0,34000,34000,Illinois,Midwest Region
3,20,4,2,57,1,40.4,42.8,37.6,3,,1,0,24000,250000,Tennessee,South Region
4,,3,1,65,1,38.3,40.2,36.4,2,,,0,0,0,Delaware,South Region
5,40,4,2,72,3,38.4,41.1,35.4,1,,0,0,47000,138000,Pennsylvania,Northeast Region
6,40,4,1,62,2,37.6,39.7,34.9,1,,1,0,54000,68400,California,West Region
7,,3,1,95,3,37.6,39.7,34.9,2,,,0,0,70000,California,West Region
8,40,5,2,23,3,35.9,38.6,33,3,4,1,0,45000,95000,California,West Region
9,,2,1,61,2,39.9,42.5,37,2,,,1,15000,15000,Louisiana,South Region
10,30,4,1,79,2,39.9,42.3,37.2,2,,1,0,42000,42000,Texas,South Region
11,,3,1,71,2,36.5,39.5,33.4,2,,,0,90000,150000,Rhode Island,Northeast Region
12,,4,2,59,2,38.3,40.3,36.2,2,,,0,0,70000,Minnesota,Midwest Region
13,,2,1,84,3,39.2,41.1,37,3,,,0,0,54000,Florida,South Region
14,36,5,2,42,3,38.7,41.8,35.4,3,,1,0,30000,30000,Minnesota,Midwest Region
15,,2,1,72,2,39.2,41.1,37.2,2,,,1,0,15000,Florida,South Region
16,,5,2,78,2,37.9,40.5,35,2,,,0,0,,Pennsylvania,Northeast Region
17,,4,2,74,2,37.9,39.8,35.7,2,,,0,0,2500,Florida,South Region
18,36,4,1,74,3,38.9,41.5,36,2,2,1,0,24000,75000,Missouri,Midwest Region
19,40,4,2,51,3,37.7,39.9,35.2,3,,1,0,42000,42000,Missouri,Midwest Region
20,,4,1,67,1,37.8,40.7,34.6,2,,,0,0,2500,Pennsylvania,Northeast Region
21,16,2,1,58,1,39.4,42.7,35.6,2,,1,0,24000,85000,Pennsylvania,Northeast Region
22,,3,1,79,1,38.9,41.4,36.2,1,,,0,0,35000,Kansas,Midwest Region
23,,5,1,68,3,38.7,41.5,35.8,2,,,0,0,55000,Maine,Northeast Region
24,42,4,2,59,3,38.1,41.1,35.1,2,,1,0,40000,125000,Virginia,South Region
25,40,5,1,54,2,37.5,40.1,34.7,2,,0,1,35000,75000,Washington,West Region
26,,3,2,67,2,39.3,41.7,36.6,2,,,0,35000,50000,Oklahoma,South Region
27,40,4,2,,2,37.7,40.3,35.2,2,,1,0,,,Connecticut,Northeast Region
