,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
3,20,4,2,57,1,40.4,42.8,37.6,3,,1,0,24000,250000,Tennessee,South Region
5,40,4,2,72,3,38.4,41.1,35.4,1,,0,0,47000,138000,Pennsylvania,Northeast Region
6,40,4,1,62,2,37.6,39.7,34.9,1,,1,0,54000,68400,California,West Region
8,40,5,2,23,3,35.9,38.6,33,3,4,1,0,45000,95000,California,West Region
10,30,4,1,79,2,39.9,42.3,37.2,2,,1,0,42000,42000,Texas,South Region
14,36,5,2,42,3,38.7,41.8,35.4,3,,1,0,30000,30000,Minnesota,Midwest Region
18,36,4,1,74,3,38.9,41.5,36,2,2,1,0,24000,75000,Missouri,Midwest Region
19,40,4,2,51,3,37.7,39.9,35.2,3,,1,0,42000,42000,Missouri,Midwest Region
21,16,2,1,58,1,39.4,42.7,35.6,2,,1,0,24000,85000,Pennsylvania,Northeast Region
24,42,4,2,59,3,38.1,41.1,35.1,2,,1,0,40000,125000,Virginia,South Region
25,40,5,1,54,2,37.5,40.1,34.7,2,,0,1,35000,75000,Washington,West Region
27,40,4,2,,2,37.7,40.3,35.2,2,,1,0,,,Connecticut,Northeast Region
29,50,3,1,49,1,38.1,40.7,35,3,1,1,0,12000,18000,Utah,West Region
31,35,5,2,,3,39.8,43,36,3,,1,0,50000,120000,Colorado,West Region
33,60,5,2,25,3,39.5,42.1,36.6,3,4,0,0,46000,105000,Kansas,Midwest Region
34,50,4,1,46,2,39.5,42.1,36.6,3,4,1,0,,,Kansas,Midwest Region
36,36,,2,64,,39,41,36.9,,,1,0,11000,70000,Missouri,Midwest Region
37,40,3,1,65,1,39.4,41.8,36.4,1,,1,0,16000,30000,Colorado,West Region
39,36,4,1,66,2,37.7,40,35,1,,1,0,58000,85000,California,West Region
40,70,3,1,54,3,39.8,42.7,36.7,3,,1,0,100000,100000,Georgia,South Region
41,10,4,2,49,1,38.4,41.3,35.2,3,1,1,0,6000,6000,New York,Northeast Region
43,45,4,2,29,1,37.5,40.4,34.1,3,,1,0,21000,,Colorado,West Region
46,40,3,1,65,3,38.1,40.6,35.2,1,,1,0,55000,120000,Idaho,West Region
47,45,4,1,52,3,38.4,41.3,35.2,3,,1,0,55000,140000,New York,Northeast Region
49,18,3,2,64,1,38.3,40.3,36.1,2,,0,0,2092.19,60000,New York,Northeast Region
50,50,4,1,76,3,38.1,40.6,35.2,2,,1,0,,,Idaho,West Region
51,40,4,2,57,3,38.3,40.3,36.1,3,,1,0,26000,26000,New York,Northeast Region
52,40,3,2,30,3,39.3,41.4,37.1,3,,1,0,15000,45000,Virginia,South Region
53,50,3,1,75,1,39.2,41.5,36.7,3,3,1,0,60000,60000,North Carolina,South Region
56,40,3,2,67,3,38.8,40,37.7,1,,1,0,40000,40000,Maryland,South Region
58,50,4,1,57,1,37.4,39.6,35.1,1,2,1,0,20000,35000,New York,Northeast Region
61,32,3,1,63,3,36,39.1,32.6,2,,1,0,150000,150000,California,West Region
64,40,4,2,66,3,38.2,40.5,35.4,1,,1,0,52000,74000,California,West Region
65,12,3,2,53,2,37.1,39.4,34.4,1,,1,0,,,California,West Region
67,38,4,2,59,2,38.9,41.4,36.3,3,,0,0,53000,56000,Virginia,South Region
69,50,4,1,28,3,40.4,42.7,37.5,3,,1,0,80000,135000,Texas,South Region
70,36,3,2,56,3,38.1,40.4,35.5,3,,1,0,125000,133000,California,West Region
71,32,4,2,40,3,38.1,40.5,35.7,3,,1,0,55000,100000,Maine,Northeast Region
72,50,4,1,27,3,37.8,40.4,35,3,,1,0,92000,160000,Ohio,Midwest Region
73,40,3,2,47,2,37.3,39.3,35.3,3,2,1,0,,,Virginia,South Region
74,60,3,2,63,1,38.4,41.2,35.4,1,,1,0,19000,50000,Ohio,Midwest Region
75,40,4,1,58,3,39.2,41.5,36.7,2,,1,0,115000,130000,North Carolina,South Region
76,40,3,2,51,3,37.4,39.6,35.1,2,,1,0,77000,77000,New York,Northeast Region
87,40,3,1,60,2,40.1,42.7,37.2,2,,0,0,48000,48000,Texas,South Region
88,13,5,1,65,1,39,41.8,35.9,2,,1,0,40000,48000,Pennsylvania,Northeast Region
94,42,4,2,55,2,39.1,41.5,36.5,1,,0,0,80000,150000,Iowa,Midwest Region
99,46,4,1,58,3,38.9,41.4,36.2,2,2,1,0,160000,243000,Kansas,Midwest Region
100,60,4,1,57,3,39.1,41.9,36.1,3,2,1,0,45000,80000,Kansas,Midwest Region
101,35,4,2,53,1,38.4,41.2,35.4,3,,1,0,30000,62000,Pennsylvania,Northeast Region
102,40,5,2,33,3,39.6,42,36.9,3,,1,0,60000,120000,Oklahoma,South Region
103,40,4,2,54,3,37.4,39.9,34.6,3,,1,0,,,New York,Northeast Region
105,55,3,1,48,3,40.1,43.1,36.7,3,,1,0,85000,120000,Iowa,Midwest Region
106,45,4,1,34,3,39.7,42.9,35.9,3,,1,0,45000,90000,Ohio,Midwest Region
110,35,2,2,60,3,42.4,44.6,40.3,3,,1,0,64000,,New York,Northeast Region
111,40,5,1,34,3,38.1,40.2,35.8,3,,1,0,74000,130000,New York,Northeast Region
112,4,4,1,72,3,37,38.9,35.2,1,2,1,0,0,275000,New York,Northeast Region
116,30,4,1,67,1,37.1,39.5,34.5,2,4,1,0,26000,45000,Kansas,Midwest Region
117,15,3,3,72,2,36.1,36.7,35.2,1,,0,0,,,New Jersey,Northeast Region
120,50,4,1,55,3,39.3,41.1,37,2,,1,0,,,Kansas,Midwest Region
129,20,3,2,66,1,38.6,41.6,35.5,1,,1,0,40000,75000,Connecticut,Northeast Region
130,55,5,2,47,3,38.5,41.3,35.5,3,4,1,0,115000,200000,Massachusetts,Northeast Region
134,25,4,2,67,1,37.6,39.6,35.6,3,4,1,0,10000,50000,North Carolina,South Region
136,45,4,2,31,3,38.3,40.3,36.2,2,,1,0,67000,67000,Delaware,South Region
141,40,5,1,52,3,37.4,39.9,34.6,3,2,,0,106000,217000,New York,Northeast Region
142,60,4,2,55,1,36.7,39.3,33.7,3,1,1,0,14000,1800,Colorado,West Region
143,8,4,1,75,2,39,41.8,35.9,2,,1,0,4000,20000,Pennsylvania,Northeast Region
